_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
131161,4937758,2021.0,2021,1940.0,PRIVATE,11,University-Rosedale,424 YONGE ST,10,210,2021-06-22,81,Evaluation needs to be conducted in 3 years,16,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S1145,43.6604990067,-79.3839774936,314228.403,4835355.504
131162,4915028,2021.0,2021,2021.0,PRIVATE,11,University-Rosedale,484 SPADINA AVE,16,166,2021-06-22,99,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,S1138,43.6582941155,-79.40075313850001,312789.392,4835153.945
131163,4154086,2017.0,2021,1986.0,TCHC,14,Toronto-Danforth,266 DONLANDS AVE,8,254,2021-05-14,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,S1422,43.6896562892,-79.3419083036,317529.06899999996,4838645.48
131164,4155609,2017.0,2021,1970.0,TCHC,14,Toronto-Danforth,2 PHIN AVE,3,34,2021-05-14,71,Evaluation needs to be conducted in 2 years,15,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,3.0,,,S1431,43.6788050577,-79.33587160260001,318018.089,4837440.899
131165,4155471,2017.0,2021,1992.0,TCHC,3,Etobicoke-Lakeshore,98 CAVELL AVE,6,100,2021-05-12,75,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,2.0,4.0,4.0,5.0,4.0,3.0,,4.0,,,W0336,43.616184073999996,-79.49590117,305111.3,4830450.134
131166,4155654,2017.0,2021,1962.0,TCHC,3,Etobicoke-Lakeshore,5005 DUNDAS ST W,19,255,2021-05-12,69,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,,W0321,43.6460539737,-79.53072049149999,302305.928,4833790.048
131167,4155514,2017.0,2021,1960.0,PRIVATE,3,Etobicoke-Lakeshore,8 LAKE SHORE DR,3,11,2021-05-11,59,Evaluation needs to be conducted in 1 year,14,3.0,4.0,2.0,2.0,3.0,3.0,,3.0,,,2.0,3.0,3.0,3.0,4.0,3.0,,3.0,,,W0335,43.6015075472,-79.49800545229999,304945.349,4828840.676
131168,4156070,2017.0,2021,1992.0,SOCIAL HOUSING,1,Etobicoke North,2715 ISLINGTON AVE,5,80,2021-05-06,86,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,,W0126,43.7416736933,-79.566398634,299387.542,4844393.19
131169,4156089,2017.0,2021,1977.0,PRIVATE,2,Etobicoke Centre,290 THE KINGSWAY,4,22,2021-05-06,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,2.0,,3.0,,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,4.0,2.0,,W0229,43.663351284799994,-79.5210336725,303087.922,4835711.443
131170,4156447,2017.0,2021,1977.0,PRIVATE,2,Etobicoke Centre,292 THE KINGSWAY,4,22,2021-05-06,74,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,3.0,4.0,2.0,,3.0,,4.0,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,2.0,,W0229,43.6634977142,-79.521320335,303064.81,4835727.717
131171,4155469,2017.0,2021,1972.0,TCHC,3,Etobicoke-Lakeshore,340 ROYAL YORK RD,16,307,2021-05-06,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,W0332,43.6169208542,-79.49934613100001,304837.091,4830553.024
131172,4155274,2019.0,2021,1958.0,PRIVATE,3,Etobicoke-Lakeshore,22 RIVERWOOD PKWY,4,44,2021-05-06,69,Evaluation needs to be conducted in 2 years,14,3.0,4.0,4.0,3.0,4.0,3.0,,4.0,,,2.0,4.0,5.0,3.0,3.0,3.0,,3.0,,,W0327,43.6388094067,-79.489549092,305627.568,4832984.75
131173,4153113,2017.0,2021,1930.0,PRIVATE,9,Davenport,921 ST CLAIR AVE W,4,23,2021-05-05,78,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0928,43.679612972700006,-79.4343222081,310079.882,4837519.722
131174,4153114,2017.0,2021,1957.0,PRIVATE,9,Davenport,917 ST CLAIR AVE W,3,16,2021-05-05,71,Evaluation needs to be conducted in 2 years,16,3.0,4.0,3.0,3.0,4.0,4.0,,4.0,,3.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,,S0928,43.6796525284,-79.4341336625,310095.081,4837524.129
131175,4155504,2017.0,2021,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2507 LAKE SHORE BLVD W,3,21,2021-05-05,45,Building Audit,15,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,,2.0,2.0,1.0,3.0,3.0,2.0,3.0,,3.0,,,W0336,43.6119437281,-79.4894785843,305633.594,4830000.121
131176,4155502,2019.0,2021,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2517 LAKE SHORE BLVD W,4,42,2021-05-05,57,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,3.0,3.0,4.0,,1.0,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,W0336,43.611248843599995,-79.4897028689,305617.985,4829937.637
131177,4153161,,2021,1926.0,PRIVATE,9,Davenport,1121 BLOOR ST W,4,11,2021-05-05,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,3.0,3.0,,3.0,,4.0,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,,4.0,4.0,,S0934,43.659766697799995,-79.4348680192,310037.689,4835314.866
131178,4153112,2017.0,2021,1930.0,PRIVATE,9,Davenport,923 ST CLAIR AVE W,4,24,2021-05-05,78,Evaluation needs to be conducted in 2 years,16,3.0,3.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0928,43.6795652357,-79.4345112222,310064.646,4837514.406
131179,4153111,2017.0,2021,1930.0,PRIVATE,9,Davenport,925 ST CLAIR AVE W,4,24,2021-05-05,74,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,4.0,3.0,3.0,,4.0,,4.0,3.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0928,43.6795294913,-79.4347109535,310048.545,4837510.422
131180,4153115,2017.0,2021,1930.0,PRIVATE,9,Davenport,109 GLENHOLME AVE,3,15,2021-05-05,81,Evaluation needs to be conducted in 3 years,14,4.0,4.0,4.0,4.0,,4.0,,,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,S0928,43.6786824154,-79.4384961713,309743.43100000004,4837416.085
131181,4153116,2017.0,2021,1951.0,PRIVATE,9,Davenport,1095 ST CLAIR AVE W,3,11,2021-05-05,64,Evaluation needs to be conducted in 1 year,15,3.0,4.0,3.0,3.0,,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,S0928,43.678255875,-79.4404625992,309584.915,4837368.586
131182,4152925,2017.0,2021,1994.0,TCHC,9,Davenport,11 RANDOLPH AVE,6,95,2021-05-05,74,Evaluation needs to be conducted in 2 years,18,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,S0929,43.658298977200005,-79.4502110226,308800.29,4835150.998
131183,4153153,2018.0,2021,1925.0,PRIVATE,9,Davenport,34 HEYDON PARK RD,3,31,2021-05-05,73,Evaluation needs to be conducted in 2 years,15,4.0,3.0,3.0,3.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,4.0,3.0,3.0,,4.0,4.0,,S0934,43.652977027700004,-79.42702579430001,310670.881,4834561.084
